Date(UTC),Julian Date,MET,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Jan 18 2013,2456310.999976850,380203201,86.46,4.87E-08,1.21E-08
Jan 25 2013,2456317.999976850,380808001,58.77,4.06E-08,1.22E-08
Feb 01 2013,2456324.999976850,381412801,64.94,5.01E-08,1.35E-08
Feb 08 2013,2456331.999976850,382017601,65,3.64E-08,1.19E-08
Feb 15 2013,2456338.999976850,382622401,62.17,4.35E-08,1.33E-08
Feb 22 2013,2456345.999976850,383227201,63.83,5.63E-08,1.53E-08
Mar 01 2013,2456352.999976850,383832001,43.62,4.68E-08,1.38E-08
Mar 08 2013,2456359.999976850,384436801,60.05,5.51E-08,1.85E-08
Mar 15 2013,2456366.999976850,385041601,57.31,4.34E-08,1.28E-08
Mar 22 2013,2456373.999976850,385646401,49.38,4.42E-08,1.33E-08
Mar 29 2013,2456380.999976850,386251201,41.82,2.54E-08,1.12E-08
Apr 05 2013,2456387.999976850,386856001,97.46,7E-08,1.69E-08
Apr 12 2013,2456394.999976850,387460801,72.44,4.58E-08,1.24E-08
Apr 19 2013,2456401.999976850,388065601,66.39,6.79E-08,1.72E-08
Apr 26 2013,2456408.999976850,388670401,29.76,2.7E-08,1.13E-08
May 03 2013,2456415.999976850,389275201,29.75,2.97E-08,1.2E-08
May 10 2013,2456422.999976850,389880001,58.84,4.01E-08,1.23E-08
May 17 2013,2456429.999976850,390484801,62.3,2.75E-08,8.5E-09
May 24 2013,2456436.999976850,391089601,47.14,5.5E-08,1.67E-08
May 31 2013,2456443.999976850,391694401,56.96,4.19E-08,1.42E-08
Jun 07 2013,2456450.999976850,392299201,31.65,3.8E-08,1.31E-08
Jun 14 2013,2456457.999976850,392904001,52.63,3.28E-08,1.18E-08
Jun 21 2013,2456464.999976850,393508801,58.68,3.78E-08,1.21E-08
Jun 28 2013,2456471.999976850,394113601,16.69,2.94E-08,1.16E-08
Jul 05 2013,2456478.999976850,394718401,91.79,4.28E-08,1.24E-08
Jul 12 2013,2456485.999976850,395323201,50.84,3.97E-08,1.26E-08
Jul 19 2013,2456492.999976850,395928001,84.24,5.79E-08,1.51E-08
Jul 26 2013,2456499.999976850,396532801,14.46,2.09E-08,1E-08
Aug 02 2013,2456506.999976850,397137601,26.21,2.92E-08,1.33E-08
Aug 09 2013,2456513.999976850,397742401,96.68,5.79E-08,1.53E-08
Aug 16 2013,2456520.999976850,398347201,58.08,3.94E-08,1.17E-08
Aug 23 2013,2456527.999976850,398952001,70.34,5.49E-08,1.42E-08
Aug 30 2013,2456534.999976850,399556801,18.52,2.3E-08,1.1E-08
Sep 06 2013,2456541.999976850,400161601,43.61,3.08E-08,1.24E-08
Sep 13 2013,2456548.999976850,400766401,36.82,3.12E-08,1.18E-08
Sep 20 2013,2456555.999976850,401371201,32.82,2.69E-08,1.04E-08
Sep 27 2013,2456562.999976850,401976001,44.85,2.65E-08,1.01E-08
Oct 04 2013,2456569.999976850,402580801,37.73,3.69E-08,1.21E-08
